iter	Passed	Remaining
409	5320	7655
410	5336	7647
411	5348	7633
412	5363	7623
413	5376	7610
414	5387	7595
415	5399	7580
416	5409	7563
417	5419	7546
418	5431	7531
419	5443	7517
420	5455	7503
421	5467	7488
422	5477	7472
423	5490	7458
424	5500	7441
425	5512	7428
426	5524	7413
427	5535	7397
428	5547	7383
429	5560	7370
430	5572	7357
431	5584	7342
432	5597	7329
433	5611	7317
434	5626	7308
435	5639	7294
436	5649	7278
437	5662	7264
438	5672	7249
439	5685	7236
440	5695	7219
441	5708	7207
442	5721	7194
443	5733	7180
444	5746	7166
445	5759	7154
446	5773	7142
447	5792	7136
448	5811	7131
449	5827	7122
450	5844	7113
451	5860	7105
452	5874	7093
453	5899	7094
454	5914	7084
455	5926	7070
456	5944	7063
457	5958	7051
458	5974	7041
459	5986	7028
460	6000	7016
461	6012	7002
462	6030	6994
463	6043	6981
464	6057	6969
465	6070	6955
466	6082	6942
467	6095	6929
468	6109	6916
469	6120	6902
470	6135	6890
471	6152	6882
472	6164	6868
473	6178	6855
474	6189	6841
475	6203	6829
476	6217	6817
477	6232	6805
478	6244	6792
479	6257	6779
480	6270	6766
481	6281	6751
482	6294	6737
483	6305	6722
484	6323	6714
485	6337	6702
486	6351	6690
487	6364	6677
488	6376	6663
489	6389	6649
490	6399	6634
491	6413	6622
492	6431	6613
493	6446	6603
494	6455	6585
495	6465	6569
496	6479	6557
497	6490	6543
498	6501	6527
499	6512	6512
500	6524	6498
501	6534	6482
502	6544	6466
503	6554	6450
504	6565	6435
505	6578	6422
506	6589	6407
507	6598	6390
508	6614	6380
509	6626	6366
510	6639	6353
511	6650	6338
512	6660	6323
513	6672	6309
514	6684	6295
515	6696	6280
516	6706	6265
517	6718	6251
518	6730	6237
519	6742	6223
520	6754	6210
521	6765	6195
522	6776	6180
523	6789	6167
524	6801	6153
525	6812	6139
526	6826	6127
527	6841	6116
528	6854	6103
529	6866	6089
530	6876	6073
531	6889	6060
532	6903	6048
533	6914	6034
534	6926	6020
535	6938	6006
536	6950	5992
537	6962	5978
538	6972	5963
539	6984	5949
540	7000	5939
541	7014	5927
542	7035	5921
543	7045	5905
544	7055	5890
545	7070	5878
546	7082	5865
547	7092	5849
548	7102	5834
549	7115	5821
550	7128	5808
551	7139	5794
552	7152	5781
553	7163	5766
554	7173	5752
555	7183	5736
556	7196	5723
557	7212	5713
558	7223	5698
559	7236	5685
560	7246	5670
561	7258	5657
562	7268	5641
563	7281	5629
564	7296	5617
565	7308	5603
566	7318	5588
567	7331	5575
568	7345	5563
569	7356	5549
570	7376	5542
571	7388	5528
572	7400	5514
573	7412	5501
574	7424	5487
575	7435	5473
576	7446	5459
577	7456	5444
578	7466	5429
579	7479	5416
580	7492	5403
581	7504	5389
582	7518	5377
583	7528	5363
584	7541	5350
585	7550	5334
586	7560	5319
587	7572	5305
588	7581	5290
589	7594	5277
590	7610	5266
591	7623	5254
592	7634	5239
593	7645	5225
594	7656	5211
595	7668	5197
596	7679	5183
597	7692	5170
598	7704	5157
599	7717	5144
600	7727	5130
601	7741	5118
602	7751	5103
603	7762	5089
604	7772	5074
605	7785	5061
606	7797	5048
607	7807	5034
608	7821	5021
609	7832	5007
610	7846	4995
611	7855	4980
612	7869	4968
613	7883	4955
614	7898	4944
615	7914	4933
616	7924	4919
617	7937	4906
618	7948	4892
619	7962	4880
620	7972	4865
621	7985	4852
622	8000	4841
623	8013	4828
624	8026	4815
625	8036	4801
626	8047	4787
627	8057	4772
628	8068	4759
629	8081	4746
630	8095	4734
631	8108	4721
632	8121	4708
633	8139	4698
634	8156	4688
635	8275	4736
636	8314	4737
637	8327	4725
638	8337	4710
639	8347	4695
640	8357	4680
641	8367	4666
642	8380	4652
643	8391	4639
644	8407	4627
645	8421	4614
646	8436	4602
647	8451	4590
648	8470	4581
649	8490	4571
650	8504	4559
651	8515	4544
652	8527	4531
653	8537	4516
654	8546	4501
655	8566	4492
656	8577	4478
657	8589	4464
658	8601	4450
659	8612	4436
660	8624	4422
661	8633	4408
662	8644	4393
663	8657	4380
664	8668	4366
665	8680	4353
666	8691	4339
667	8704	4326
668	8715	4312
669	8725	4297
670	8736	4283
671	8747	4269
672	8757	4255
673	8770	4242
674	8780	4227
675	8790	4213
676	8806	4201
677	8818	4188
678	8832	4175
679	8843	4161
680	8867	4153
681	8883	4142
682	8898	4130
683	8913	4118
684	8927	4105
685	8941	4092
686	8951	4078
687	8963	4064
688	8974	4050
689	8983	4036
690	8996	4022
691	9005	4008
692	9017	3994
693	9028	3980
694	9037	3966
695	9049	3952
696	9059	3938
697	9068	3923
698	9080	3910
699	9092	3896
700	9104	3883
701	9118	3870
702	9132	3858
703	9150	3847
704	9164	3834
705	9179	3822
70706	9257	38370707	9268	38270708	9283	38170709	9294	37971710	9310	37871711	9323	377712	9272	3732
713	9284	3719
714	9295	3705
715	9308	3692
716	9320	3678
717	9331	3664
718	9343	3651
719	9356	3638
720	9367	3625
721	9377	3610
722	9390	3597
723	9400	3583
724	9411	3569
725	9423	3556
