iter	Logloss
0	0.6922902685
1	0.6914291135
2	0.6905327578
3	0.6897784973
4	0.6891208518
5	0.68849279
6	0.6878262066
7	0.6871380743
8	0.6864155446
9	0.6856315844
10	0.6850169205
11	0.684319
12	0.6837582002
13	0.6833083381
14	0.6827647676
15	0.6823280832
16	0.6817639366
17	0.6813984862
18	0.6809619679
19	0.6804898772
20	0.6800962699
21	0.6795867732
22	0.6792408316
23	0.6788512051
24	0.6784529448
25	0.6780671459
26	0.6776399569
27	0.6772765418
28	0.677006764
29	0.6767097115
30	0.6763425531
31	0.6761087902
32	0.6758790765
33	0.675655508
34	0.6753808839
35	0.675155574
36	0.674833568
37	0.6746137405
38	0.6743706573
39	0.6741540285
40	0.6739430334
41	0.6737363782
42	0.6735456633
43	0.6732503614
44	0.6730901967
45	0.6728848242
46	0.6726874473
47	0.6725562658
48	0.6724487363
49	0.6722820362
50	0.6720468122
51	0.6719027772
52	0.6716259444
53	0.6714639458
54	0.6713624084
55	0.6711671319
56	0.6709879636
57	0.6708415727
58	0.6707119094
59	0.6705772292
60	0.6703760252
61	0.6701927962
62	0.6700693852
63	0.669938057
64	0.6697968456
65	0.6696809225
66	0.6695422068
67	0.6694160276
68	0.6692299186
69	0.6690637016
70	0.6688897437
71	0.668778047
72	0.6687062825
73	0.668566187
74	0.6684720073
75	0.6683115527
76	0.6681721556
77	0.6680353314
78	0.6678365258
79	0.667692053
80	0.6675298291
81	0.6674331086
82	0.6673084524
83	0.6671212916
84	0.6670278662
85	0.6669047539
86	0.6667944068
87	0.6666555055
88	0.6665619293
89	0.6664104266
90	0.6662686201
91	0.6661732263
92	0.6661302012
93	0.6660245081
94	0.6658867462
95	0.6658028443
96	0.6656504436
97	0.6655640586
98	0.6654607411
99	0.6653263751
100	0.6652902092
101	0.665148665
102	0.6650227413
103	0.6649163798
104	0.6647872113
105	0.6646792206
106	0.6646022001
107	0.6645115532
108	0.664432327
109	0.6643320763
110	0.6641782468
111	0.6640525702
112	0.6639793132
113	0.6638733598
114	0.6637891439
115	0.6637282383
116	0.6636317208
117	0.663481854
118	0.663283864
119	0.663100127
120	0.6629006849
121	0.6628122244
122	0.6627014937
123	0.6625803833
124	0.6624959084
125	0.6624279053
